2024-975346439000000-09 2075346439:55:46.439 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 23220 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975346440000000-09 2075346440:55:46.440 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975346475000000-09 2075346475:55:46.475 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975346478000000-09 2075346478:55:46.478 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975347244000000-09 2075347244:55:47.244 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975347254000000-09 2075347254:55:47.254 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975347256000000-09 2075347256:55:47.256 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975347256000000-09 2075347256:55:47.256 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-975347297000000-09 2075347297:55:47.297 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-975347297000000-09 2075347297:55:47.297 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 819 ms
2024-975347556000000-09 2075347556:55:47.556 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975347569000000-09 2075347569:55:47.569 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975347586000000-09 2075347586:55:47.586 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-975347594000000-09 2075347594:55:47.594 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.587 seconds (process running for 2.11)
2024-975363369000000-09 2075363369:56:03.369 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 19920 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975363370000000-09 2075363370:56:03.370 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975363408000000-09 2075363408:56:03.408 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975363409000000-09 2075363409:56:03.409 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975364124000000-09 2075364124:56:04.124 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975364134000000-09 2075364134:56:04.134 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975364136000000-09 2075364136:56:04.136 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975364137000000-09 2075364137:56:04.137 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
